[2025-08-01 17:34:25.407] [INFO] app.log file deleted successfully
[2025-08-01 17:34:25.407] [INFO] Trade counter reset successfully
[2025-08-01 17:34:25.407] [INFO] Initialized 6 symbols in database
[2025-08-01 17:34:27.632] [DEBUG] A key detected and service is enabled
[2025-08-01 17:34:27.632] [DEBUG] A key pressed - starting inclined pattern capture
[2025-08-01 17:34:27.633] [DEBUG] SimpleTradingOverlay.OnAKeyPressed() called
[2025-08-01 17:34:27.633] [INFO] A key pressed - starting inclined trading pattern creation
[2025-08-01 17:34:27.633] [INFO] Started inclined trading pattern creation for window 852876 (symbol: XAUUSD)
[2025-08-01 17:34:27.850] [INFO] First click recorded at (1609, 401)
[2025-08-01 17:34:28.434] [INFO] Second click recorded at (1687, 338)
[2025-08-01 17:34:28.435] [INFO] Current window handle: 852876
[2025-08-01 17:34:28.435] [INFO] Window rect: Left=0, Top=0, Right=1920, Bottom=1039
[2025-08-01 17:47:23.653] [DEBUG] RectangleBreakDetector: Column X=138: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.653] [DEBUG] RectangleBreakDetector: Column X=137: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.653] [DEBUG] RectangleBreakDetector: Column X=136: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.654] [DEBUG] RectangleBreakDetector: Column X=135: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.654] [DEBUG] RectangleBreakDetector: Column X=134: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.654] [DEBUG] RectangleBreakDetector: Column X=133: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.654] [DEBUG] RectangleBreakDetector: Column X=132: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.655] [DEBUG] RectangleBreakDetector: Column X=131: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.655] [DEBUG] RectangleBreakDetector: Column X=130: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.655] [DEBUG] RectangleBreakDetector: Column X=129: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.655] [DEBUG] RectangleBreakDetector: Column X=128: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.655] [DEBUG] RectangleBreakDetector: Column X=127: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.655] [DEBUG] RectangleBreakDetector: Column X=126: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.656] [DEBUG] RectangleBreakDetector: Column X=125: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.656] [DEBUG] RectangleBreakDetector: Column X=124: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.656] [DEBUG] RectangleBreakDetector: Column X=123: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.656] [DEBUG] RectangleBreakDetector: Column X=122: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.657] [DEBUG] RectangleBreakDetector: Column X=121: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.657] [DEBUG] RectangleBreakDetector: Column X=120: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.657] [DEBUG] RectangleBreakDetector: Column X=119: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.657] [DEBUG] RectangleBreakDetector: Column X=118: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.657] [DEBUG] RectangleBreakDetector: Column X=117: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.657] [DEBUG] RectangleBreakDetector: Column X=116: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.658] [DEBUG] RectangleBreakDetector: Column X=115: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.658] [DEBUG] RectangleBreakDetector: Column X=114: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.658] [DEBUG] RectangleBreakDetector: Column X=113: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.658] [DEBUG] RectangleBreakDetector: Column X=112: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.658] [DEBUG] RectangleBreakDetector: Column X=111: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.659] [DEBUG] RectangleBreakDetector: Column X=110: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.659] [DEBUG] RectangleBreakDetector: Column X=109: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.659] [DEBUG] RectangleBreakDetector: Column X=108: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.659] [DEBUG] RectangleBreakDetector: Column X=107: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.659] [DEBUG] RectangleBreakDetector: Column X=106: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.659] [DEBUG] RectangleBreakDetector: Column X=105: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.660] [DEBUG] RectangleBreakDetector: Column X=104: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.660] [DEBUG] RectangleBreakDetector: Column X=103: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.660] [DEBUG] RectangleBreakDetector: Column X=102: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.660] [DEBUG] RectangleBreakDetector: Column X=101: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.660] [DEBUG] RectangleBreakDetector: Column X=100: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.660] [DEBUG] RectangleBreakDetector: Column X=99: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.661] [DEBUG] RectangleBreakDetector: Column X=98: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.661] [DEBUG] RectangleBreakDetector: Column X=97: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.661] [DEBUG] RectangleBreakDetector: Column X=96: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.661] [DEBUG] RectangleBreakDetector: Column X=95: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.661] [DEBUG] RectangleBreakDetector: Column X=94: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.661] [DEBUG] RectangleBreakDetector: Column X=93: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.662] [DEBUG] RectangleBreakDetector: Column X=92: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.662] [DEBUG] RectangleBreakDetector: Column X=91: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.662] [DEBUG] RectangleBreakDetector: Column X=90: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.662] [DEBUG] RectangleBreakDetector: Column X=89: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.662] [DEBUG] RectangleBreakDetector: Column X=88: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.663] [DEBUG] RectangleBreakDetector: Column X=87: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.663] [DEBUG] RectangleBreakDetector: Column X=86: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.663] [DEBUG] RectangleBreakDetector: Column X=85: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.663] [DEBUG] RectangleBreakDetector: Column X=84: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.663] [DEBUG] RectangleBreakDetector: Column X=83: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.664] [DEBUG] RectangleBreakDetector: Column X=82: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.664] [DEBUG] RectangleBreakDetector: Column X=81: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.664] [DEBUG] RectangleBreakDetector: Column X=80: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.664] [DEBUG] RectangleBreakDetector: Column X=79: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.664] [DEBUG] RectangleBreakDetector: Column X=78: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.664] [DEBUG] RectangleBreakDetector: Column X=77: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.665] [DEBUG] RectangleBreakDetector: Column X=76: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.665] [DEBUG] RectangleBreakDetector: Column X=75: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.665] [DEBUG] RectangleBreakDetector: Column X=74: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.665] [DEBUG] RectangleBreakDetector: Column X=73: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.665] [DEBUG] RectangleBreakDetector: Column X=72: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.666] [DEBUG] RectangleBreakDetector: Column X=71: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.666] [DEBUG] RectangleBreakDetector: Column X=70: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.666] [DEBUG] RectangleBreakDetector: Column X=69: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.666] [DEBUG] RectangleBreakDetector: Column X=68: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.666] [DEBUG] RectangleBreakDetector: Column X=67: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.666] [DEBUG] RectangleBreakDetector: Column X=66: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.667] [DEBUG] RectangleBreakDetector: Column X=65: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.667] [DEBUG] RectangleBreakDetector: Column X=64: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.667] [DEBUG] RectangleBreakDetector: Column X=63: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.667] [DEBUG] RectangleBreakDetector: Column X=62: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.667] [DEBUG] RectangleBreakDetector: Column X=61: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.667] [DEBUG] RectangleBreakDetector: Column X=60: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.668] [DEBUG] RectangleBreakDetector: Column X=59: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.668] [DEBUG] RectangleBreakDetector: Column X=58: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.668] [DEBUG] RectangleBreakDetector: Column X=57: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.668] [DEBUG] RectangleBreakDetector: Column X=56: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.668] [DEBUG] RectangleBreakDetector: Column X=55: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.668] [DEBUG] RectangleBreakDetector: Column X=54: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.669] [DEBUG] RectangleBreakDetector: Column X=53: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.669] [DEBUG] RectangleBreakDetector: Column X=52: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.669] [DEBUG] RectangleBreakDetector: Column X=51: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.669] [DEBUG] RectangleBreakDetector: Column X=50: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.670] [DEBUG] RectangleBreakDetector: Column X=49: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.670] [DEBUG] RectangleBreakDetector: Column X=48: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.670] [DEBUG] RectangleBreakDetector: Column X=47: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.670] [DEBUG] RectangleBreakDetector: Column X=46: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.670] [DEBUG] RectangleBreakDetector: Column X=45: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.671] [DEBUG] RectangleBreakDetector: Column X=44: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.671] [DEBUG] RectangleBreakDetector: Column X=43: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.671] [DEBUG] RectangleBreakDetector: Column X=42: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.671] [DEBUG] RectangleBreakDetector: Column X=41: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.671] [DEBUG] RectangleBreakDetector: Column X=40: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.672] [DEBUG] RectangleBreakDetector: Column X=39: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.672] [DEBUG] RectangleBreakDetector: Column X=38: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.672] [DEBUG] RectangleBreakDetector: Column X=37: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.672] [DEBUG] RectangleBreakDetector: Column X=36: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.672] [DEBUG] RectangleBreakDetector: Column X=35: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.672] [DEBUG] RectangleBreakDetector: Column X=34: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.673] [DEBUG] RectangleBreakDetector: Column X=33: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.673] [DEBUG] RectangleBreakDetector: Column X=32: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.673] [DEBUG] RectangleBreakDetector: Column X=31: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.673] [DEBUG] RectangleBreakDetector: Column X=30: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.673] [DEBUG] RectangleBreakDetector: Column X=29: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.674] [DEBUG] RectangleBreakDetector: Column X=28: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.674] [DEBUG] RectangleBreakDetector: Column X=27: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.674] [DEBUG] RectangleBreakDetector: Column X=26: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.674] [DEBUG] RectangleBreakDetector: Column X=25: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.674] [DEBUG] RectangleBreakDetector: Column X=24: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.674] [DEBUG] RectangleBreakDetector: Column X=23: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.675] [DEBUG] RectangleBreakDetector: Column X=22: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.675] [DEBUG] RectangleBreakDetector: Column X=21: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.675] [DEBUG] RectangleBreakDetector: Column X=20: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.675] [DEBUG] RectangleBreakDetector: Column X=19: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.675] [DEBUG] RectangleBreakDetector: Column X=18: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.676] [DEBUG] RectangleBreakDetector: Column X=17: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.676] [DEBUG] RectangleBreakDetector: Column X=16: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.676] [DEBUG] RectangleBreakDetector: Column X=15: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.676] [DEBUG] RectangleBreakDetector: Column X=14: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.677] [DEBUG] RectangleBreakDetector: Column X=13: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.677] [DEBUG] RectangleBreakDetector: Column X=12: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.677] [DEBUG] RectangleBreakDetector: Column X=11: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.677] [DEBUG] RectangleBreakDetector: Column X=10: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.677] [DEBUG] RectangleBreakDetector: Column X=9: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.678] [DEBUG] RectangleBreakDetector: Column X=8: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.678] [DEBUG] RectangleBreakDetector: Column X=7: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.678] [DEBUG] RectangleBreakDetector: Column X=6: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.678] [DEBUG] RectangleBreakDetector: Column X=5: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.679] [DEBUG] RectangleBreakDetector: Column X=4: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.679] [DEBUG] RectangleBreakDetector: Column X=3: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.679] [DEBUG] RectangleBreakDetector: Column X=2: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.679] [DEBUG] RectangleBreakDetector: Column X=1: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.679] [DEBUG] RectangleBreakDetector: Column X=0: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:47:23.679] [WARNING] RectangleBreakDetector: No vertical line found with current parameters
[2025-08-01 17:47:23.680] [DEBUG] RectangleBreakDetector: Primary method failed, trying alternative for capture ID=20250801174322334
[2025-08-01 17:47:23.680] [DEBUG] RectangleBreakDetector: Using alternative method to find vertical line
[2025-08-01 17:47:23.680] [DEBUG] RectangleBreakDetector: Alternative - Column X=148: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.680] [DEBUG] RectangleBreakDetector: Alternative - Column X=147: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.681] [DEBUG] RectangleBreakDetector: Alternative - Column X=146: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.681] [DEBUG] RectangleBreakDetector: Alternative - Column X=145: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.681] [DEBUG] RectangleBreakDetector: Alternative - Column X=144: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.681] [DEBUG] RectangleBreakDetector: Alternative - Column X=143: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.681] [DEBUG] RectangleBreakDetector: Alternative - Column X=142: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.681] [DEBUG] RectangleBreakDetector: Alternative - Column X=141: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.682] [DEBUG] RectangleBreakDetector: Alternative - Column X=140: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.682] [DEBUG] RectangleBreakDetector: Alternative - Column X=139: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.682] [DEBUG] RectangleBreakDetector: Alternative - Column X=138: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.682] [DEBUG] RectangleBreakDetector: Alternative - Column X=137: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.682] [DEBUG] RectangleBreakDetector: Alternative - Column X=136: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.683] [DEBUG] RectangleBreakDetector: Alternative - Column X=135: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.683] [DEBUG] RectangleBreakDetector: Alternative - Column X=134: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.683] [DEBUG] RectangleBreakDetector: Alternative - Column X=133: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.683] [DEBUG] RectangleBreakDetector: Alternative - Column X=132: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.683] [DEBUG] RectangleBreakDetector: Alternative - Column X=131: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.684] [DEBUG] RectangleBreakDetector: Alternative - Column X=130: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.684] [DEBUG] RectangleBreakDetector: Alternative - Column X=129: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.684] [DEBUG] RectangleBreakDetector: Alternative - Column X=128: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.684] [DEBUG] RectangleBreakDetector: Alternative - Column X=127: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.685] [DEBUG] RectangleBreakDetector: Alternative - Column X=126: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.685] [DEBUG] RectangleBreakDetector: Alternative - Column X=125: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.685] [DEBUG] RectangleBreakDetector: Alternative - Column X=124: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.685] [DEBUG] RectangleBreakDetector: Alternative - Column X=123: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.685] [DEBUG] RectangleBreakDetector: Alternative - Column X=122: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.685] [DEBUG] RectangleBreakDetector: Alternative - Column X=121: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.686] [DEBUG] RectangleBreakDetector: Alternative - Column X=120: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.686] [DEBUG] RectangleBreakDetector: Alternative - Column X=119: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.686] [DEBUG] RectangleBreakDetector: Alternative - Column X=118: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.686] [DEBUG] RectangleBreakDetector: Alternative - Column X=117: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.686] [DEBUG] RectangleBreakDetector: Alternative - Column X=116: whitePixels=0, whiteSegments=0
[2025-08-01 17:47:23.686] [DEBUG] RectangleBreakDetector: Alternative - Column X=115: whitePixels=0, whiteSegments=0
